Order Amount,Item Cost,Quantity,Profit
16499,16499,3,0
25000,25000,3,0
25000,25000,3,0
19999,19999,3,0
9750,9750,3,0
25000,25000,1,0
21499,21499,1,0
6200,6200,6,0
21499,21499,6,0
21499,21499,6,0
32500,32500,6,0
25000,25000,6,0
37000,18500,6,18500
37000,37000,1,0
21499,21499,1,0
21499,21499,1,0
38499,19999,1,18500
38499,18500,1,19999
49500,49500,6,0
21499,21499,6,0
22500,22500,6,0
25000,25000,6,0
25000,25000,1,0
32500,32500,1,0
32500,32500,1,0
49500,49500,1,0
17500,17500,1,0
49500,49500,1,0
6200,6200,1,0
49500,49500,1,0
25000,25000,1,0
49500,49500,1,0
17500,17500,1,0
25000,25000,1,0
25000,25000,9,0
25000,25000,9,0
25000,25000,9,0
32500,32500,9,0
25000,25000,9,0
21499,21499,9,0
21499,21499,9,0
120000,120000,9,0
50000,25000,9,25000
160000,160000,9,0
26000,26000,9,0
52000,52000,9,0
